Topic,Frequency,date,Name
41,3,17/4/2020,41_thankyou_thankyouswitzerrland_hon_app...
42,27,17/4/2020,42_safe_stay_keep_calm
43,7,17/4/2020,43_mothers_mothership_mums_mum
44,15,17/4/2020,44_singapura_majulah_singapor_majullah
45,59,17/4/2020,45_lockdown_lock_partial_curve
46,1,17/4/2020,46_switzerland_swiss_visit_solidarity
47,2,17/4/2020,47_stupid_stupidity_idiot_dumb
48,14,17/4/2020,48_speech_speeches_reassuring_spoken
50,9,17/4/2020,50_wedding_wife_marriage_bouquet
51,11,17/4/2020,51_loong_kuan_yew_salute
52,5,17/4/2020,52_privacy_tracetogether_tracing_bluetoo...
53,8,17/4/2020,53_job_great_good_well
54,31,17/4/2020,54_pink_colour_tie_wear
55,11,17/4/2020,55_hope_dream_chance_juliet
56,12,17/4/2020,56_song_sing_music_voice
57,8,17/4/2020,57_news_hapugalle_media_sharing
58,15,17/4/2020,58_conditioning_solar_coal_energy
59,5,17/4/2020,59_hero_heroes_batman_heros
60,6,17/4/2020,60_fish_fishing_salmon_seafood
61,1,17/4/2020,61_villagers_cruel_animals_elephants
62,9,17/4/2020,62_malaysia_malaysian_indonesia_malay
63,7,17/4/2020,63_congratulations_proud_muthukumarasamy...
64,1,17/4/2020,64_photo_picture_photos_pic
65,15,17/4/2020,65_ministers_cabinet_appreciate_prime
66,4,17/4/2020,66_vaccine_vaccines_antibodies_flu
67,3,17/4/2020,67_flight_flights_airport_changi
69,9,17/4/2020,69_recovery_discharged_wishing_discharge
70,19,17/4/2020,70_rental_landlords_landlord_rent
71,1,17/4/2020,71_morning_good_day_happy
72,3,17/4/2020,72_pasta_cheese_sauce_bacon
73,3,17/4/2020,73_vietnam_vietnamese_viet_donations
74,3,17/4/2020,74_sunset_sky_sun_sunsets
75,9,17/4/2020,75_bless_shepherd_flock_fauna
76,14,17/4/2020,76_video_videos_youtube_tv
77,9,17/4/2020,77_amazing_awesome_excellent_fantastic
78,7,17/4/2020,78_pools_pool_gym_swimming
79,6,17/4/2020,79_leader_politician_austrian_mendelsohn
80,2,17/4/2020,80_bid_bundle_bidders_osso
81,7,17/4/2020,81_bless_blessed_lord_blessing
84,8,17/4/2020,84_love_thanks_beloved_raley
85,4,17/4/2020,85_mf_tm_tmr_lj
-1,1222,21/4/2020,-1_together_bless_well_everyone
0,216,21/4/2020,0_ng_lim_wong_yang
1,53,21/4/2020,1_money_pay_jobs_salary
2,100,21/4/2020,2_singaporean_singaporeans_proud_ministe...
3,122,21/4/2020,3_hardcore_gastor_gateway_gates
4,186,21/4/2020,4_leadership_leaders_proud_kindness
5,153,21/4/2020,5_mask_wear_masks_face
6,18,21/4/2020,6_phase_ntuc_june_time
7,144,21/4/2020,7_hari_allah_muslim_ramadan
8,6,21/4/2020,8_police_jail_enforcement_fines
9,84,21/4/2020,9_care_appreciate_advice_caring
10,93,21/4/2020,10_safe_healthy_care_stay
11,66,21/4/2020,11_home_stay_safe_staying
12,88,21/4/2020,12_thanku_dear_sri_merci
13,39,21/4/2020,13_covid_fight_fighting_pandemic
14,11,21/4/2020,14_school_parents_schools_teachers
15,7,21/4/2020,15_china_taiwan_chinese_kong
16,35,21/4/2020,16_virus_coronavirus_corona_infected
17,37,21/4/2020,17_nurses_doctors_nurse_staff
18,27,21/4/2020,18_happy_wishes_buddha_wish
19,47,21/4/2020,19_minister_honorable_ministers_honourab...
20,10,21/4/2020,20_supermarket_shop_supermarkets_shops
21,4,21/4/2020,21_election_pap_vote_party
22,14,21/4/2020,22_government_govt_governance_sg
23,4,21/4/2020,23_mrt_bus_buses_train
24,17,21/4/2020,24_team_hard_teams_appreciate
25,6,21/4/2020,25_test_testing_tested_tests
26,20,21/4/2020,26_dorms_dormitories_dormitory_dorm
27,49,21/4/2020,27_lot_alot_thanksa_thankspm
28,12,21/4/2020,28_circuit_breaker_measures_extend
29,29,21/4/2020,29_sg_united_strong_congratulations
30,34,21/4/2020,30_bangladesh_bangladeshi_love_respect
31,8,21/4/2020,31_drink_language_sip_tea
32,2,21/4/2020,32_otters_animals_otter_fishes
33,26,21/4/2020,33_pray_praying_prayers_prayer
34,17,21/4/2020,34_exercise_jogging_exercising_cycling
35,7,21/4/2020,35_salon_barber_haircut_hairdresser
36,6,21/4/2020,36_sad_suicide_cry_crying
37,26,21/4/2020,37_love_dear_leemagiccup_amorous
38,12,21/4/2020,38_eat_food_eating_dine
39,37,21/4/2020,39_migrant_workers_migrants_care
40,1,21/4/2020,40_extend_cb_ccb_extension
41,32,21/4/2020,41_thankyou_thankyouswitzerrland_hon_app...
42,25,21/4/2020,42_safe_stay_keep_calm
43,4,21/4/2020,43_mothers_mothership_mums_mum
44,14,21/4/2020,44_singapura_majulah_singapor_majullah
45,5,21/4/2020,45_lockdown_lock_partial_curve
46,190,21/4/2020,46_switzerland_swiss_visit_solidarity
47,2,21/4/2020,47_stupid_stupidity_idiot_dumb
48,3,21/4/2020,48_speech_speeches_reassuring_spoken
50,6,21/4/2020,50_wedding_wife_marriage_bouquet
51,22,21/4/2020,51_loong_kuan_yew_salute
52,5,21/4/2020,52_privacy_tracetogether_tracing_bluetoo...
53,14,21/4/2020,53_job_great_good_well
54,8,21/4/2020,54_pink_colour_tie_wear
55,9,21/4/2020,55_hope_dream_chance_juliet
56,45,21/4/2020,56_song_sing_music_voice
57,5,21/4/2020,57_news_hapugalle_media_sharing
58,7,21/4/2020,58_conditioning_solar_coal_energy
59,21,21/4/2020,59_hero_heroes_batman_heros
62,7,21/4/2020,62_malaysia_malaysian_indonesia_malay
