Topic,Frequency,date,Name
66,8,23/6/2020,66_bless_diversity_squash_blessfor
67,17,23/6/2020,67_win_seat_winner_seats
68,13,23/6/2020,68_day_holiday_weekend_holidays
69,12,23/6/2020,69_win_victory_champion_winner
-1,2284,26/6/2020,-1_support_well_need_leader
0,438,26/6/2020,0_lim_jia_lai_jin
1,189,26/6/2020,1_health_healthy_stay_leadership
2,205,26/6/2020,2_singaporean_singaporeans_opposition_pa...
3,112,26/6/2020,3_frontliners_fu_fuel_frontliner
4,61,26/6/2020,4_minister_prime_cabinet_ministers
6,197,26/6/2020,6_mask_wear_wearing_masks
7,23,26/6/2020,7_hsien_singapure_congratulations_strong...
8,37,26/6/2020,8_retirement_retire_happy_contribution
9,35,26/6/2020,9_suicide_pain_parents_family
10,32,26/6/2020,10_border_malaysia_borders_causeway
11,175,26/6/2020,11_tcb_hougang_tanjong_sengkang
12,80,26/6/2020,12_money_pay_salary_donate
13,45,26/6/2020,13_choice_paa_lc_pr
14,166,26/6/2020,14_psp_ps_go_win
15,46,26/6/2020,15_virus_infected_vaccine_testing
16,24,26/6/2020,16_singapura_majullah_singapureans_singa...
17,15,26/6/2020,17_love_boos_animal_honesty
18,20,26/6/2020,18_thank_thanku_thankyou_notifying
19,2,26/6/2020,19_congrats_congratulation_congratulated...
20,16,26/6/2020,20_pray_bless_blessing_blessings
21,11,26/6/2020,21_father_fathers_dad_blessed
22,52,26/6/2020,22_election_elections_campaign_polling
23,16,26/6/2020,23_luck_lucky_best_fortune
24,35,26/6/2020,24_vote_opposition_election_parties
25,13,26/6/2020,25_sg_united_together_sar
26,10,26/6/2020,26_best_rocky_betterment_choices
27,54,26/6/2020,27_years_time_countdown_admin
28,5,26/6/2020,28_monkey_monkeys_food_steal
29,24,26/6/2020,29_morning_sirs_herro_morningeverbody
30,44,26/6/2020,30_talk_listening_dialogue_louder
31,56,26/6/2020,31_eat_food_eating_lunch
32,61,26/6/2020,32_mask_eating_eat_coffee
33,5,26/6/2020,33_hari_proud_muslim_muslims
34,1,26/6/2020,34_nurses_nurse_nursing_doctors
35,23,26/6/2020,35_photo_picture_pic_beautiful
36,38,26/6/2020,36_vote_voted_votes_voting
37,20,26/6/2020,37_covid_test_ge_markets
38,29,26/6/2020,38_hope_future_better_tomorrow
39,19,26/6/2020,39_vote_election_votepap_papy
40,6,26/6/2020,40_pink_tie_color_wear
41,87,26/6/2020,41_social_ambassadors_ambassador_gatheri...
42,10,26/6/2020,42_goodmorning_goodluck_lidder_mmorning
43,22,26/6/2020,43_support_supporting_heartedly_izzy
44,7,26/6/2020,44_wishes_wish_administration_victories
46,48,26/6/2020,46_parliament_opposition_debates_debate
47,8,26/6/2020,47_hello_dear_cavair_archana
48,39,26/6/2020,48_police_enforcement_fined_laws
49,6,26/6/2020,49_china_chinese_mandarin_coronavirus
52,6,26/6/2020,52_evening_night_goodnight_nights
53,4,26/6/2020,53_song_rendition_sang_singing
54,14,26/6/2020,54_hero_super_superman_star
55,10,26/6/2020,55_job_jobs_worked_rewarded
56,5,26/6/2020,56_liverpool_fan_fc_fans
57,7,26/6/2020,57_esm_contributions_missed_contribution
58,7,26/6/2020,58_allah_bless_pray_insha
59,26,26/6/2020,59_video_watching_watch_screen
60,9,26/6/2020,60_malaysia_malay_malaysian_malays
62,6,26/6/2020,62_bangladesh_bangladeshi_workers_respec...
63,60,26/6/2020,63_shake_hands_fist_hand
64,5,26/6/2020,64_thanks_pro_sb_thankspro
65,5,26/6/2020,65_smile_happy_smiling_glad
66,4,26/6/2020,66_bless_diversity_squash_blessfor
67,11,26/6/2020,67_win_seat_winner_seats
68,8,26/6/2020,68_day_holiday_weekend_holidays
69,19,26/6/2020,69_win_victory_champion_winner
-1,755,28/6/2020,-1_support_well_need_leader
0,73,28/6/2020,0_lim_jia_lai_jin
1,188,28/6/2020,1_health_healthy_stay_leadership
2,81,28/6/2020,2_singaporean_singaporeans_opposition_pa...
3,80,28/6/2020,3_frontliners_fu_fuel_frontliner
4,19,28/6/2020,4_minister_prime_cabinet_ministers
5,2,28/6/2020,5_congratulations_onward_journey_go
6,9,28/6/2020,6_mask_wear_wearing_masks
7,19,28/6/2020,7_hsien_singapure_congratulations_strong...
8,17,28/6/2020,8_retirement_retire_happy_contribution
9,16,28/6/2020,9_suicide_pain_parents_family
10,8,28/6/2020,10_border_malaysia_borders_causeway
11,13,28/6/2020,11_tcb_hougang_tanjong_sengkang
12,9,28/6/2020,12_money_pay_salary_donate
13,38,28/6/2020,13_choice_paa_lc_pr
14,5,28/6/2020,14_psp_ps_go_win
15,2,28/6/2020,15_virus_infected_vaccine_testing
16,17,28/6/2020,16_singapura_majullah_singapureans_singa...
17,24,28/6/2020,17_love_boos_animal_honesty
18,10,28/6/2020,18_thank_thanku_thankyou_notifying
19,3,28/6/2020,19_congrats_congratulation_congratulated...
20,18,28/6/2020,20_pray_bless_blessing_blessings
21,8,28/6/2020,21_father_fathers_dad_blessed
22,7,28/6/2020,22_election_elections_campaign_polling
23,23,28/6/2020,23_luck_lucky_best_fortune
24,26,28/6/2020,24_vote_opposition_election_parties
25,7,28/6/2020,25_sg_united_together_sar
26,22,28/6/2020,26_best_rocky_betterment_choices
27,2,28/6/2020,27_years_time_countdown_admin
29,1,28/6/2020,29_morning_sirs_herro_morningeverbody
30,4,28/6/2020,30_talk_listening_dialogue_louder
31,3,28/6/2020,31_eat_food_eating_lunch
32,1,28/6/2020,32_mask_eating_eat_coffee
33,2,28/6/2020,33_hari_proud_muslim_muslims
35,5,28/6/2020,35_photo_picture_pic_beautiful
36,10,28/6/2020,36_vote_voted_votes_voting
37,5,28/6/2020,37_covid_test_ge_markets
38,6,28/6/2020,38_hope_future_better_tomorrow
39,12,28/6/2020,39_vote_election_votepap_papy
40,3,28/6/2020,40_pink_tie_color_wear
41,2,28/6/2020,41_social_ambassadors_ambassador_gatheri...
42,12,28/6/2020,42_goodmorning_goodluck_lidder_mmorning
43,19,28/6/2020,43_support_supporting_heartedly_izzy
